FECHA,ENSO,NIVEL_ENSO
2020-01,0.5,1
2020-02,0.5,1
2020-03,0.4,0
2020-04,0.2,0
2020-05,-0.1,0
2020-06,-0.3,0
2020-07,-0.4,0
2020-08,-0.6,-1
2020-09,-0.9,-1
2020-10,-1.2,-2
2020-11,-1.3,-2
2020-12,-1.2,-2
2021-01,-1,-2
2021-02,-0.9,-1
2021-03,-0.8,-1
2021-04,-0.7,-1
2021-05,-0.5,-1
2021-06,-0.4,0
2021-07,-0.4,0
2021-08,-0.5,-1
2021-09,-0.7,-1
2021-10,-0.8,-1
2021-11,-1,-2
2021-12,-1,-2
2022-01,-1,-2
2022-02,-0.9,-1
2022-03,-1,-2
2022-04,-1.1,-2
2022-05,-1,-2
2022-06,-0.9,-1
2022-07,-0.8,-1
2022-08,-0.9,-1
2022-09,-1,-2
2022-10,-1,-2
2022-11,-0.9,-1
2022-12,-0.8,-1
2023-01,-0.7,-1
2023-02,-0.4,0
2023-03,-0.1,0
2023-04,0.2,0
2023-05,0.5,1
2023-06,0.8,1
2023-07,1.1,2
2023-08,1.3,2
2023-09,1.6,3
2023-10,1.8,3
2023-11,1.9,3
2023-12,2,4
2024-01,1.8,3
2024-02,1.5,3
2024-03,1.1,2
2024-04,0.7,1
2024-05,0.4,0
2024-06,0.2,0
2024-07,0,0
2024-08,-0.1,0
2024-09,-0.2,0
2024-10,-0.3,0
2024-11,-0.4,0
2024-12,-0.5,-1
2025-01,-0.6,-1
2025-02,-0.4,0
2025-03,-0.2,0
2025-04,-0.1,0
2025-05,-0.1,0
2025-06,-0.1,0
2025-07,-0.1,0
