FECHA,IPP_PRODUCCION_NACIONAL,IPP_OFERTA_INTERNA
2019-01,114.53,117.18
2019-02,115.6,117.38
2019-03,116.37,117.82
2019-04,118.03,118.86
2019-05,119.91,120.19
2019-06,117.99,119.76
2019-07,118.68,120.73
2019-08,118.91,121.6
2019-09,120.35,122.23
2019-10,120.34,122.56
2019-11,120.31,122.31
2019-12,120.79,122.36
2020-01,119.91,122.34
2020-02,118.69,122.34
2020-03,116.16,123.27
2020-04,112.33,122.59
2020-05,113.73,122.5
2020-06,115.73,122.59
2020-07,117.49,122.76
2020-08,119.31,123.54
2020-09,118.78,123.7
2020-10,119.52,124.42
2020-11,119.54,124.31
2020-12,119.74,124.38
2021-01,123.03,126.36
2021-02,126.19,128.63
2021-03,129.23,131.18
2021-04,130.88,132.98
2021-05,135.01,136.23
2021-06,136.76,136.95
2021-07,139.03,138.22
2021-08,140.32,139.63
2021-09,142.14,140.81
2021-10,146.17,142.86
2021-11,150.39,145.69
2021-12,151.53,147.55
2022-01,159.25,153.41
2022-02,165.4,157.66
2022-03,172.86,161.18
2022-04,175.83,163.99
2022-05,181.71,166.51
2022-06,180.03,166.99
2022-07,184.9,170.63
2022-08,181.19,169.68
2022-09,180.9,170.9
2022-10,184.68,174.57
2022-11,187.27,176.35
2022-12,184.57,175.85
2023-01,185.05,179.15
2023-02,187.15,181.23
2023-03,185.11,181.2
2023-04,182.27,179.26
2023-05,178.28,177.47
2023-06,174.08,175.01
2023-07,173.02,173.73
2023-08,176.26,175.99
2023-09,179.13,177.29
2023-10,180.13,177.72
2023-11,176.45,175.78
2023-12,173.88,174.46
2024-01,174.91,175.88
2024-02,176.77,177.47
2024-03,177.57,177.63
2024-04,179.17,178.18
2024-05,177.83,177.37
2024-06,180.15,179
2024-07,180.55,179.21
2024-08,178.54,177.68
2024-09,179.93,179.18
2024-10,181.96,180.55
2024-11,184.92,182.86
2024-12,186.42,184.51
2025-01,188.03,185.81
2025-02,187.34,185.74
2025-03,186.22,185.59
