Fecha,Recurso,Código Agente,Combustible,Consumo Combustible (MBTU),Version
2020-01-01,BARRANQUILLA 3,TBSG,GAS,0,TX5
2020-01-01,BARRANQUILLA 3,TBSG,COMBUSTOLEO,0,TX5
2020-01-01,BARRANQUILLA 3,TBSG,GAS NI,0,TX5
2020-01-01,BARRANQUILLA 4,TBSG,GAS,0,TX5
2020-01-01,BARRANQUILLA 4,TBSG,COMBUSTOLEO,0,TX5
2020-01-01,BARRANQUILLA 4,TBSG,GAS NI,0,TX5
2020-01-01,CARTAGENA 1,ENDG,COMBUSTOLEO,0,TX5
2020-01-01,CARTAGENA 1,ENDG,GAS,0,TX5
2020-01-01,CARTAGENA 2,ENDG,GAS,0,TX5
2020-01-01,CARTAGENA 2,ENDG,COMBUSTOLEO,0,TX5
2020-01-01,CARTAGENA 3,ENDG,COMBUSTOLEO,0,TX5
2020-01-01,CARTAGENA 3,ENDG,GAS,0,TX5
2020-01-01,FLORES 1,TMFG,GAS NI,0,TX5
2020-01-01,FLORES 1,TMFG,GAS,0,TX5
2020-01-01,FLORES 4B,TMFG,GAS NI,0,TX5
2020-01-01,FLORES 4B,TMFG,GAS,41270.93,TX5
2020-01-01,GECELCA 3,GECG,CARBON,34395.99,TX5
2020-01-01,GECELCA 32,GECG,CARBON,47132.32,TX5
2020-01-01,GUAJIRA 1,GECG,GAS,8817.1,TX5
2020-01-01,GUAJIRA 1,GECG,CARBON,21836.03,TX5
2020-01-01,GUAJIRA 2,GECG,CARBON,3777.59,TX5
2020-01-01,GUAJIRA 2,GECG,GAS,433.84,TX5
2020-01-01,MERILECTRICA 1,EPSG,GAS,0,TX5
2020-01-01,PAIPA 1,HIMG,CARBON,9701.394938,TX5
2020-01-01,PAIPA 2,HIMG,CARBON,18539.71733,TX5
2020-01-01,PAIPA 3,HIMG,CARBON,15506.11981,TX5
2020-01-01,PAIPA 4,SOCG,CARBON,32779.66374,TX5
2020-01-01,PROELECTRICA 1,PRIG,GAS,311,TX5
2020-01-01,TASAJERO 1,TRMG,CARBON,9716.337184,TX5
2020-01-01,TASAJERO 2,TERG,CARBON,29530.82537,TX5
2020-01-01,TEBSAB,TBSG,GAS,70437.926,TX5
2020-01-01,TEBSAB,TBSG,GAS NI,0,TX5
2020-01-01,TERMOCANDELARIA 1,TCIG,GAS,0,TX5
2020-01-01,TERMOCANDELARIA 1,TCIG,ACPM,0,TX5
2020-01-01,TERMOCANDELARIA 1,TCIG,GAS NI,0,TX5
2020-01-01,TERMOCANDELARIA 2,TCIG,GAS,0,TX5
2020-01-01,TERMOCANDELARIA 2,TCIG,GAS NI,0,TX5
2020-01-01,TERMOCANDELARIA 2,TCIG,ACPM,0,TX5
2020-01-01,TERMOCENTRO CC,ISGG,GAS,0,TX5
2020-01-01,TERMOCENTRO CC,ISGG,QUEROSENE,0,TX5
2020-01-01,TERMODORADA 1,EPMG,GAS,0,TX5
2020-01-01,TERMODORADA 1,EPMG,ACPM,0,TX5
2020-01-01,TERMOEMCALI 1,TEMG,GAS,0,TX5
2020-01-01,TERMONORTE,TMNG,ACPM,0,TX5
2020-01-01,TERMONORTE,TMNG,GAS,0,TX5
2020-01-01,TERMONORTE,TMNG,COMBUSTOLEO,0,TX5
2020-01-01,TERMOSIERRAB,EPMG,GAS,36992.503,TX5
2020-01-01,TERMOSIERRAB,EPMG,ACPM,0,TX5
2020-01-01,TERMOVALLE 1,TMVG,GAS,0,TX5
2020-01-01,TERMOVALLE 1,TMVG,ACPM,0,TX5
2020-01-01,TERMOYOPAL 2,TYPG,GAS,8998.93,TX5
2020-01-01,ZIPAEMG 2,ENDG,CARBON,10516.26206,TX5
2020-01-01,ZIPAEMG 4,ENDG,CARBON,621.388968,TX5
2020-01-01,ZIPAEMG 5,ENDG,CARBON,735.030767,TX5
2020-01-02,BARRANQUILLA 3,TBSG,GAS NI,0,TX5
2020-01-02,BARRANQUILLA 3,TBSG,COMBUSTOLEO,0,TX5
2020-01-02,BARRANQUILLA 3,TBSG,GAS,0,TX5
2020-01-02,BARRANQUILLA 4,TBSG,COMBUSTOLEO,0,TX5
2020-01-02,BARRANQUILLA 4,TBSG,GAS,0,TX5
2020-01-02,BARRANQUILLA 4,TBSG,GAS NI,0,TX5
2020-01-02,CARTAGENA 1,ENDG,GAS,0,TX5
2020-01-02,CARTAGENA 1,ENDG,COMBUSTOLEO,0,TX5
2020-01-02,CARTAGENA 2,ENDG,GAS,0,TX5
2020-01-02,CARTAGENA 2,ENDG,COMBUSTOLEO,0,TX5
2020-01-02,CARTAGENA 3,ENDG,COMBUSTOLEO,0,TX5
2020-01-02,CARTAGENA 3,ENDG,GAS,0,TX5
2020-01-02,FLORES 1,TMFG,GAS NI,0,TX5
2020-01-02,FLORES 1,TMFG,GAS,14755.24,TX5
2020-01-02,FLORES 4B,TMFG,GAS NI,0,TX5
2020-01-02,FLORES 4B,TMFG,GAS,50643.74,TX5
2020-01-02,GECELCA 3,GECG,CARBON,36733.21,TX5
2020-01-02,GECELCA 32,GECG,CARBON,51672.26,TX5
2020-01-02,GUAJIRA 1,GECG,CARBON,3985.39,TX5
2020-01-02,GUAJIRA 1,GECG,GAS,552.29,TX5
2020-01-02,GUAJIRA 2,GECG,CARBON,0,TX5
2020-01-02,GUAJIRA 2,GECG,GAS,0,TX5
2020-01-02,MERILECTRICA 1,EPSG,GAS,0,TX5
2020-01-02,PAIPA 1,HIMG,CARBON,9135.804865,TX5
