FECHA_HORA,YEAR,MONTH,DAY,HORA,PRECIO,TERMICA,HIDRAULICA,SOLAR,COGENERADOR,EOLICA,NIVEL_ENSO,FUEL_CONS_ACPM,FUEL_CONS_CARBON,FUEL_CONS_COMBUSTOLEO,FUEL_CONS_CRUDO,FUEL_CONS_GAS,FUEL_CONS_GAS_NI,FUEL_CONS_GLP,FUEL_COST_CARBON,FUEL_COST_GAS,FUEL_COST_GAS_NI,FUEL_COST_COMBUSTOLEO,IPC_VAR_MOM_PCT,IPP_VAR_PN_MOM_PCT,IPP_VAR_OI_MOM_PCT,DIA_SEMANA,FESTIVO,PRECIO_lag_1,PRECIO_lag_2,PRECIO_lag_3,PRECIO_lag_4,PRECIO_lag_5,PRECIO_lag_6,PRECIO_lag_7,PRECIO_lag_8,PRECIO_lag_9,PRECIO_lag_10,PRECIO_lag_11,PRECIO_lag_12,PRECIO_lag_13,PRECIO_lag_14,PRECIO_lag_15,PRECIO_lag_16,PRECIO_lag_17,PRECIO_lag_18,PRECIO_lag_19,PRECIO_lag_20,PRECIO_lag_21,PRECIO_lag_22,PRECIO_lag_23,PRECIO_lag_24
2024-01-02 00:00:00,2024,1,2,0,360.22,1285160.4,6061958.38,0.0,13510.68,10965.5,3.0,293.86,176948.614713,2032.54,0.0,148362.8745,25570.0002,0.0,173.2837755346,282.4403489083,588.6682552149,898.8030376865,0.92,0.59,0.81,2,0,290.91,301.23,301.23,301.23,301.23,301.23,281.91,281.91,251.91,152.91,152.91,152.91,152.91,95.85,95.85,95.85,95.85,152.91,251.91,281.91,281.91,251.91,251.91,251.91
2024-01-02 01:00:00,2024,1,2,1,360.22,1252557.85,5863196.5200000005,0.0,12693.41,11778.13,3.0,293.86,176948.614713,2032.54,0.0,148362.8745,25570.0002,0.0,173.2837755346,282.4403489083,588.6682552149,898.8030376865,0.92,0.59,0.81,2,0,360.22,290.91,301.23,301.23,301.23,301.23,301.23,281.91,281.91,251.91,152.91,152.91,152.91,152.91,95.85,95.85,95.85,95.85,152.91,251.91,281.91,281.91,251.91,251.91
2024-01-02 02:00:00,2024,1,2,2,309.82,1210894.06,5740740.85,0.0,13030.87,12646.47,3.0,293.86,176948.614713,2032.54,0.0,148362.8745,25570.0002,0.0,173.2837755346,282.4403489083,588.6682552149,898.8030376865,0.92,0.59,0.81,2,0,360.22,360.22,290.91,301.23,301.23,301.23,301.23,301.23,281.91,281.91,251.91,152.91,152.91,152.91,152.91,95.85,95.85,95.85,95.85,152.91,251.91,281.91,281.91,251.91
2024-01-02 03:00:00,2024,1,2,3,284.32,1209337.44,5667752.92,0.0,13230.69,11186.29,3.0,293.86,176948.614713,2032.54,0.0,148362.8745,25570.0002,0.0,173.2837755346,282.4403489083,588.6682552149,898.8030376865,0.92,0.59,0.81,2,0,309.82,360.22,360.22,290.91,301.23,301.23,301.23,301.23,301.23,281.91,281.91,251.91,152.91,152.91,152.91,152.91,95.85,95.85,95.85,95.85,152.91,251.91,281.91,281.91
2024-01-02 04:00:00,2024,1,2,4,309.82,1032092.14,5902949.98,0.0,13449.09,11501.69,3.0,293.86,176948.614713,2032.54,0.0,148362.8745,25570.0002,0.0,173.2837755346,282.4403489083,588.6682552149,898.8030376865,0.92,0.59,0.81,2,0,284.32,309.82,360.22,360.22,290.91,301.23,301.23,301.23,301.23,301.23,281.91,281.91,251.91,152.91,152.91,152.91,152.91,95.85,95.85,95.85,95.85,152.91,251.91,281.91
2024-01-02 05:00:00,2024,1,2,5,317.32,991959.43,6119209.59,0.0,13106.92,9513.04,3.0,293.86,176948.614713,2032.54,0.0,148362.8745,25570.0002,0.0,173.2837755346,282.4403489083,588.6682552149,898.8030376865,0.92,0.59,0.81,2,0,309.82,284.32,309.82,360.22,360.22,290.91,301.23,301.23,301.23,301.23,301.23,281.91,281.91,251.91,152.91,152.91,152.91,152.91,95.85,95.85,95.85,95.85,152.91,251.91
2024-01-02 06:00:00,2024,1,2,6,317.32,1079335.63,6100859.97,37832.11,13348.63,3755.21,3.0,293.86,176948.614713,2032.54,0.0,148362.8745,25570.0002,0.0,173.2837755346,282.4403489083,588.6682552149,898.8030376865,0.92,0.59,0.81,2,0,317.32,309.82,284.32,309.82,360.22,360.22,290.91,301.23,301.23,301.23,301.23,301.23,281.91,281.91,251.91,152.91,152.91,152.91,152.91,95.85,95.85,95.85,95.85,152.91
2024-01-02 07:00:00,2024,1,2,7,360.22,1180263.82,6208651.34,280512.88,13676.72,3974.79,3.0,293.86,176948.614713,2032.54,0.0,148362.8745,25570.0002,0.0,173.2837755346,282.4403489083,588.6682552149,898.8030376865,0.92,0.59,0.81,2,0,317.32,317.32,309.82,284.32,309.82,360.22,360.22,290.91,301.23,301.23,301.23,301.23,301.23,281.91,281.91,251.91,152.91,152.91,152.91,152.91,95.85,95.85,95.85,95.85
2024-01-02 08:00:00,2024,1,2,8,379.32,1294094.3,6305036.77,598350.54,21106.17,9384.04,3.0,293.86,176948.614713,2032.54,0.0,148362.8745,25570.0002,0.0,173.2837755346,282.4403489083,588.6682552149,898.8030376865,0.92,0.59,0.81,2,0,360.22,317.32,317.32,309.82,284.32,309.82,360.22,360.22,290.91,301.23,301.23,301.23,301.23,301.23,281.91,281.91,251.91,152.91,152.91,152.91,152.91,95.85,95.85,95.85
2024-01-02 09:00:00,2024,1,2,9,317.32,1366785.37,6391957.71,822153.46,15288.57,6379.6,3.0,293.86,176948.614713,2032.54,0.0,148362.8745,25570.0002,0.0,173.2837755346,282.4403489083,588.6682552149,898.8030376865,0.92,0.59,0.81,2,0,379.32,360.22,317.32,317.32,309.82,284.32,309.82,360.22,360.22,290.91,301.23,301.23,301.23,301.23,301.23,281.91,281.91,251.91,152.91,152.91,152.91,152.91,95.85,95.85
2024-01-02 10:00:00,2024,1,2,10,360.22,1557782.91,6550626.89,907408.03,16298.28,10866.04,3.0,293.86,176948.614713,2032.54,0.0,148362.8745,25570.0002,0.0,173.2837755346,282.4403489083,588.6682552149,898.8030376865,0.92,0.59,0.81,2,0,317.32,379.32,360.22,317.32,317.32,309.82,284.32,309.82,360.22,360.22,290.91,301.23,301.23,301.23,301.23,301.23,281.91,281.91,251.91,152.91,152.91,152.91,152.91,95.85
2024-01-02 11:00:00,2024,1,2,11,379.32,1634076.73,6770957.12,878949.38,23131.5,22956.99,3.0,293.86,176948.614713,2032.54,0.0,148362.8745,25570.0002,0.0,173.2837755346,282.4403489083,588.6682552149,898.8030376865,0.92,0.59,0.81,2,0,360.22,317.32,379.32,360.22,317.32,317.32,309.82,284.32,309.82,360.22,360.22,290.91,301.23,301.23,301.23,301.23,301.23,281.91,281.91,251.91,152.91,152.91,152.91,152.91
2024-01-02 12:00:00,2024,1,2,12,419.32,1756494.03,6754479.93,883198.15,27839.41,29402.68,3.0,293.86,176948.614713,2032.54,0.0,148362.8745,25570.0002,0.0,173.2837755346,282.4403489083,588.6682552149,898.8030376865,0.92,0.59,0.81,2,0,379.32,360.22,317.32,379.32,360.22,317.32,317.32,309.82,284.32,309.82,360.22,360.22,290.91,301.23,301.23,301.23,301.23,301.23,281.91,281.91,251.91,152.91,152.91,152.91
2024-01-02 13:00:00,2024,1,2,13,419.32,1823089.15,6845847.89,816634.29,27296.65,29831.29,3.0,293.86,176948.614713,2032.54,0.0,148362.8745,25570.0002,0.0,173.2837755346,282.4403489083,588.6682552149,898.8030376865,0.92,0.59,0.81,2,0,419.32,379.32,360.22,317.32,379.32,360.22,317.32,317.32,309.82,284.32,309.82,360.22,360.22,290.91,301.23,301.23,301.23,301.23,301.23,281.91,281.91,251.91,152.91,152.91
2024-01-02 14:00:00,2024,1,2,14,419.32,1891595.97,7013762.74,747773.35,27216.5,28752.1,3.0,293.86,176948.614713,2032.54,0.0,148362.8745,25570.0002,0.0,173.2837755346,282.4403489083,588.6682552149,898.8030376865,0.92,0.59,0.81,2,0,419.32,419.32,379.32,360.22,317.32,379.32,360.22,317.32,317.32,309.82,284.32,309.82,360.22,360.22,290.91,301.23,301.23,301.23,301.23,301.23,281.91,281.91,251.91,152.91
2024-01-02 15:00:00,2024,1,2,15,419.32,1896239.7,7118525.13,616601.3,26175.7,29832.22,3.0,293.86,176948.614713,2032.54,0.0,148362.8745,25570.0002,0.0,173.2837755346,282.4403489083,588.6682552149,898.8030376865,0.92,0.59,0.81,2,0,419.32,419.32,419.32,379.32,360.22,317.32,379.32,360.22,317.32,317.32,309.82,284.32,309.82,360.22,360.22,290.91,301.23,301.23,301.23,301.23,301.23,281.91,281.91,251.91
2024-01-02 16:00:00,2024,1,2,16,419.32,1841747.11,7300512.93,310386.82,28844.64,29995.980000000003,3.0,293.86,176948.614713,2032.54,0.0,148362.8745,25570.0002,0.0,173.2837755346,282.4403489083,588.6682552149,898.8030376865,0.92,0.59,0.81,2,0,419.32,419.32,419.32,419.32,379.32,360.22,317.32,379.32,360.22,317.32,317.32,309.82,284.32,309.82,360.22,360.22,290.91,301.23,301.23,301.23,301.23,301.23,281.91,281.91
2024-01-02 17:00:00,2024,1,2,17,419.32,1772390.77,7409418.29,47826.52,35434.259999999995,29767.11,3.0,293.86,176948.614713,2032.54,0.0,148362.8745,25570.0002,0.0,173.2837755346,282.4403489083,588.6682552149,898.8030376865,0.92,0.59,0.81,2,0,419.32,419.32,419.32,419.32,419.32,379.32,360.22,317.32,379.32,360.22,317.32,317.32,309.82,284.32,309.82,360.22,360.22,290.91,301.23,301.23,301.23,301.23,301.23,281.91
2024-01-02 18:00:00,2024,1,2,18,449.32,1755777.02,8009081.72,0.85,34840.8,25458.97,3.0,293.86,176948.614713,2032.54,0.0,148362.8745,25570.0002,0.0,173.2837755346,282.4403489083,588.6682552149,898.8030376865,0.92,0.59,0.81,2,0,419.32,419.32,419.32,419.32,419.32,419.32,379.32,360.22,317.32,379.32,360.22,317.32,317.32,309.82,284.32,309.82,360.22,360.22,290.91,301.23,301.23,301.23,301.23,301.23
2024-01-02 19:00:00,2024,1,2,19,449.32,1790137.18,8112098.77,0.0,34154.42,26775.53,3.0,293.86,176948.614713,2032.54,0.0,148362.8745,25570.0002,0.0,173.2837755346,282.4403489083,588.6682552149,898.8030376865,0.92,0.59,0.81,2,0,449.32,419.32,419.32,419.32,419.32,419.32,419.32,379.32,360.22,317.32,379.32,360.22,317.32,317.32,309.82,284.32,309.82,360.22,360.22,290.91,301.23,301.23,301.23,301.23
