iter	Passed	Remaining
0	13	10610
1	25	9862
2	37	9636
3	48	9392
4	59	9218
5	70	9056
6	81	8917
7	90	8716
8	101	8644
9	112	8594
10	122	8551
11	133	8498
12	144	8482
13	155	8460
14	166	8453
15	177	8428
16	188	8411
17	199	8404
18	209	8361
19	220	8339
20	231	8319
21	241	8289
22	252	8272
23	263	8269
24	274	8251
25	285	8247
26	296	8243
27	308	8243
28	319	8233
29	330	8227
30	341	8207
31	352	8201
32	362	8172
33	373	8163
34	384	8149
35	395	8137
36	406	8120
37	416	8103
38	427	8094
39	438	8086
40	449	8071
41	460	8060
42	471	8046
43	482	8033
44	493	8022
45	503	8008
46	515	8002
47	525	7984
48	536	7974
49	547	7961
50	558	7947
51	569	7934
52	580	7924
53	590	7912
54	601	7902
55	612	7891
56	623	7877
57	634	7866
58	645	7851
59	656	7845
60	667	7829
61	677	7809
62	687	7795
63	698	7782
64	709	7768
65	720	7766
66	732	7757
67	743	7746
68	753	7736
69	764	7724
70	776	7718
71	786	7700
72	796	7679
73	806	7664
74	817	7655
75	829	7648
76	839	7634
77	850	7620
78	861	7608
79	872	7597
80	882	7584
81	894	7581
82	903	7557
83	915	7550
84	926	7539
85	936	7527
86	947	7514
87	957	7499
88	968	7484
89	979	7473
90	989	7461
91	1001	7455
92	1012	7445
93	1023	7434
94	1033	7422
95	1045	7414
96	1056	7405
97	1066	7392
98	1078	7383
99	1088	7369
100	1099	7360
101	1110	7351
102	1121	7337
103	1128	7300
104	1139	7291
105	1149	7278
106	1160	7268
107	1171	7257
108	1181	7242
109	1192	7230
110	1203	7219
111	1214	7210
112	1225	7198
113	1236	7189
114	1246	7175
115	1257	7165
116	1268	7153
117	1278	7141
118	1289	7128
119	1299	7116
120	1310	7104
121	1321	7092
122	1331	7080
123	1342	7070
124	1352	7052
125	1362	7040
126	1373	7028
127	1383	7014
128	1394	7003
129	1405	6993
130	1416	6985
131	1427	6975
132	1438	6963
133	1449	6956
134	1460	6944
135	1470	6932
136	1481	6919
137	1492	6912
138	1503	6900
139	1514	6889
140	1524	6876
141	1534	6863
142	1545	6853
143	1556	6842
144	1566	6829
145	1578	6820
146	1588	6807
147	1600	6800
148	1611	6792
149	1622	6781
150	1633	6770
151	1643	6759
152	1655	6750
153	1665	6736
154	1675	6723
155	1685	6711
156	1696	6700
157	1708	6693
158	1718	6681
159	1729	6670
160	1740	6658
161	1750	6646
162	1761	6633
163	1771	6622
164	1782	6610
165	1793	6599
166	1803	6588
167	1814	6577
168	1824	6565
169	1835	6553
170	1846	6543
171	1856	6531
172	1867	6521
173	1878	6511
174	1889	6501
175	1900	6491
176	1911	6481
177	1923	6471
178	1933	6458
179	1944	6447
180	1955	6440
181	1966	6429
182	1977	6417
183	1987	6406
184	1999	6397
185	2010	6387
186	2021	6378
187	2032	6367
188	2043	6356
189	2054	6346
190	2064	6335
191	2075	6324
192	2084	6308
193	2095	6297
194	2106	6287
195	2117	6277
196	2128	6265
197	2139	6254
198	2149	6243
199	2160	6232
200	2170	6221
201	2181	6210
202	2192	6198
203	2203	6188
204	2213	6177
205	2224	6166
206	2235	6155
207	2246	6146
208	2258	6136
209	2268	6126
210	2279	6115
211	2290	6104
212	2301	6094
213	2313	6085
214	2324	6075
215	2334	6063
216	2345	6053
217	2356	6041
218	2366	6030
219	2377	6019
220	2388	6010
221	2399	5999
222	2411	5989
223	2421	5978
224	2433	5969
225	2443	5957
226	2454	5945
227	2464	5934
228	2475	5924
229	2486	5914
230	2497	5902
231	2508	5891
232	2518	5879
233	2528	5867
234	2539	5856
235	2551	5848
236	2562	5837
237	2572	5826
238	2583	5815
239	2594	5804
240	2604	5793
241	2615	5781
242	2625	5770
243	2635	5757
244	2645	5745
245	2656	5734
246	2667	5723
247	2678	5713
248	2689	5702
249	2700	5691
250	2710	5680
251	2721	5669
252	2731	5658
253	2742	5647
254	2753	5636
255	2764	5625
256	2774	5614
257	2785	5603
258	2795	5591
259	2806	5580
260	2816	5568
261	2827	5558
262	2838	5547
263	2849	5536
264	2859	5524
265	2870	5513
266	2881	5503
267	2891	5492
268	2902	5480
269	2913	5470
270	2924	5459
271	2935	5450
272	2946	5440
273	2958	5430
274	2969	5420
275	2980	5410
276	2992	5400
277	3002	5390
278	3013	5379
279	3025	5369
280	3036	5359
281	3047	5348
282	3057	5337
283	3069	5327
284	3080	5317
285	3091	5307
286	3102	5296
287	3112	5285
288	3122	5272
289	3133	5261
290	3143	5250
291	3154	5239
292	3165	5229
293	3176	5217
294	3186	5206
295	3197	5195
296	3208	5184
297	3219	5174
298	3230	5164
299	3240	5153
300	3251	5142
301	3262	5131
302	3273	5120
303	3285	5111
304	3297	5102
305	3309	5093
306	3321	5084
307	3332	5074
308	3342	5063
309	3353	5052
310	3364	5041
311	3375	5030
312	3386	5019
313	3395	5007
314	3406	4996
315	3417	4985
316	3428	4975
317	3439	4964
318	3450	4953
319	3461	4942
320	3472	4932
321	3483	4921
322	3493	4910
323	3504	4900
324	3515	4889
325	3526	4879
326	3538	4869
327	3549	4858
328	3559	4847
329	3571	4837
330	3582	4827
331	3593	4816
332	3604	4806
333	3616	4796
334	3627	4785
335	3638	4774
336	3648	4764
337	3659	4752
338	3669	4741
339	3680	4730
340	3691	4719
341	3701	4707
342	3712	4697
343	3723	4686
344	3734	4675
345	3745	4665
346	3755	4654
347	3766	4642
348	3777	4632
349	3788	4621
350	3798	4610
351	3809	4599
352	3820	4588
353	3831	4577
354	3840	4565
355	3851	4554
356	3861	4543
357	3872	4532
358	3883	4521
359	3894	4510
360	3905	4500
361	3916	4489
362	3927	4479
363	3939	4469
364	3951	4459
365	3962	4449
366	3973	4439
367	3985	4429
368	3996	4419
369	4008	4409
370	4019	4399
371	4030	4388
372	4041	4377
373	4052	4367
374	4063	4356
375	4075	4346
376	4086	4335
377	4097	4325
378	4108	4314
379	4119	4303
380	4130	4292
381	4141	4281
382	4150	4269
383	4162	4260
384	4173	4249
385	4184	4239
386	4195	4227
387	4206	4216
388	4215	4204
389	4225	4193
390	4236	4182
391	4245	4169
392	4256	4158
393	4267	4148
394	4278	4137
395	4288	4126
396	4299	4115
397	4310	4104
398	4321	4094
399	4331	4082
400	4342	4071
401	4353	4060
402	4363	4049
403	4374	4039
404	4385	4028
405	4396	4017
406	4407	4007
407	4418	3996
408	4429	3985
409	4439	3974
410	4450	3963
411	4461	3952
412	4471	3941
413	4482	3930
414	4493	3919
415	4504	3908
416	4515	3897
417	4526	3887
418	4537	3876
419	4549	3866
420	4560	3856
421	4570	3845
422	4581	3834
423	4592	3823
424	4604	3813
425	4614	3802
426	4625	3791
427	4635	3779
428	4646	3768
429	4656	3757
430	4667	3746
431	4678	3736
432	4689	3725
433	4699	3714
434	4710	3703
435	4721	3692
436	4732	3681
437	4742	3670
438	4753	3660
439	4764	3649
440	4775	3638
441	4786	3627
442	4798	3617
443	4808	3606
444	4819	3595
445	4829	3584
446	4840	3573
447	4851	3562
448	4861	3551
449	4872	3540
450	4883	3529
451	4894	3519
452	4904	3508
453	4915	3496
454	4925	3485
455	4935	3474
456	4947	3464
457	4957	3453
458	4968	3442
459	4978	3431
460	4989	3420
461	5000	3409
462	5011	3398
463	5021	3387
464	5032	3376
465	5043	3366
466	5054	3355
467	5065	3344
468	5076	3333
469	5086	3322
470	5098	3312
471	5108	3301
472	5119	3290
473	5130	3279
474	5141	3268
475	5152	3257
476	5162	3247
477	5173	3235
478	5184	3225
479	5195	3214
480	5205	3203
481	5216	3192
482	5227	3182
483	5238	3171
484	5249	3160
485	5260	3149
486	5271	3138
487	5281	3128
488	5292	3117
489	5303	3106
490	5314	3095
491	5325	3085
492	5336	3073
493	5347	3063
494	5358	3053
495	5370	3042
496	5381	3031
497	5392	3021
498	5403	3010
499	5414	2999
500	5424	2988
501	5435	2977
502	5446	2967
503	5458	2956
504	5469	2945
505	5479	2934
506	5489	2923
507	5500	2912
508	5511	2901
509	5521	2890
510	5532	2880
511	5544	2869
512	5555	2859
513	5566	2848
514	5577	2837
515	5588	2826
516	5599	2815
517	5610	2805
518	5620	2794
